Monster,Source,CR,Size,Type,Second Type,Elite,Legendary,NPC,Unique,AC,HP,STR,DEX,CON,INT,WIS,CHA,Proficiency Bonus,Maneuver DC,Variants,Base Creature
Fallen Solar,Monstrous Menagerie,21,Large,Celestial,N/A,0,1,0,0,21,319,28,22,28,28,30,30,7,24,0,Solar
Solar,Monstrous Menagerie,21,Large,Celestial,N/A,0,1,0,0,21,319,28,22,28,28,30,30,7,24,2,0
Solar Counselor,Monstrous Menagerie,21,Large,Celestial,N/A,1,1,0,0,21,638,28,22,28,28,30,30,7,24,0,Solar
Ancient Sapphire Dragon,Monstrous Menagerie,25,Gargantuan,Dragon,N/A,0,1,0,0,21,429,24,24,22,26,24,20,8,23,0,0
Archlich: The Mouthless One,Blog/A5e Tools,26,Medium,Undead,N/A,1,1,0,1,21,630,12,18,22,26,22,20,8,20,0,0
Midir,Dungeon Delver's Guide,24,Gargantuan,Celestial,N/A,0,1,0,0,21,369,30,24,30,24,20,30,7,25,1,0
Midir the Reborn,Dungeon Delver's Guide,24,Gargantuan,Celestial,N/A,1,1,0,0,21,738,30,24,30,24,20,30,7,25,0,Midir
Aklea,Monstrous Menagerie,22,Gargantuan,Celestial,N/A,1,1,0,0,21,656,30,24,30,22,24,26,7,25,0,Empyrean
Dracula,Mythological Figures & Maleficent Monsters ,21,Medium,Undead,N/A,0,1,1,1,21,437,20,25,20,22,21,23,7,22,0,0
Empyrean,Monstrous Menagerie,22,Gargantuan,Celestial,N/A,0,1,0,0,21,328,30,24,30,22,24,26,7,25,2,0
King Fomor,Monstrous Menagerie,22,Gargantuan,Celestial,N/A,1,1,0,0,21,656,30,24,30,22,24,26,7,25,0,Empyrean
Ancient Copper Dragon,Monstrous Menagerie,23,Gargantuan,Dragon,N/A,0,1,0,0,21,367,26,12,24,20,16,18,7,23,0,0
Ancient Green Dragon,Monstrous Menagerie,24,Gargantuan,Dragon,N/A,0,1,0,0,21,420,26,12,24,20,16,18,7,23,1,0
Green Great Wyrm,Monstrous Menagerie,24,Gargantuan,Dragon,N/A,1,1,0,0,21,840,26,12,24,20,16,18,7,23,0,Ancient Green Dragon
Ancient Bronze Dragon,Monstrous Menagerie,24,Gargantuan,Dragon,N/A,0,1,0,0,21,425,28,10,26,18,16,20,7,24,0,0
Ancient Shadow Dragon,Monstrous Menagerie,24,Gargantuan,Dragon,N/A,0,1,0,0,21,296,26,16,26,16,16,26,7,23,0,0
Dragon Turtle,Monstrous Menagerie,17,Gargantuan,Dragon,N/A,0,0,0,0,21,264,24,10,22,14,16,16,6,21,1,0
Titanic Dragon Turtle,Monstrous Menagerie,24,Titanic,Dragon,N/A,0,1,0,0,21,396,24,10,22,14,16,16,7,22,0,Dragon Turtle
Joan of Arc,Mythological Figures & Maleficent Monsters ,10,Medium,Humanoid,N/A,0,0,1,1,21,117,16,12,14,14,10,16,4,15,0,0
Ancient Amethyst Dragon,Monstrous Menagerie,23,Gargantuan,Dragon,N/A,0,1,0,0,20,313,22,24,22,26,16,24,7,22,0,0
Ancient Emerald Dragon,Monstrous Menagerie,24,Gargantuan,Dragon,N/A,0,1,0,0,20,346,26,26,22,26,14,22,7,23,0,0
Baba Yaga,Mythological Figures & Maleficent Monsters ,22,Medium,Humanoid,N/A,0,0,1,1,20,262,16,17,22,24,19,21,7,18,0,0
Demilich,Monstrous Menagerie,18,Tiny,Undead,N/A,0,1,0,0,20,159,10,24,16,24,22,20,6,21,1,0
Demilich Mastermind,Monstrous Menagerie,18,Tiny,Undead,N/A,1,1,0,0,20,319,10,24,16,24,22,20,6,21,0,Demilich
Kraken,Monstrous Menagerie,25,Gargantuan,Monstrosity,N/A,0,1,0,0,20,444,30,10,26,22,18,18,8,26,1,0
Titanic Kraken,Monstrous Menagerie,25,Titanic,Monstrosity,N/A,0,1,0,0,20,888,30,10,26,22,18,18,8,26,0,Kraken
Ancient Brass Dragon,Monstrous Menagerie,22,Gargantuan,Dragon,N/A,0,1,0,0,20,367,26,10,24,20,16,18,7,23,0,0
Arcane Blademaster,Monstrous Menagerie,19,Medium,Humanoid,N/A,0,0,1,0,20,256,20,12,20,20,14,12,6,19,0,0
Greater Sphinx,Monstrous Menagerie,17,Huge,Monstrosity,N/A,0,1,0,0,20,220,22,14,18,18,22,20,6,20,0,Sphinx
Sphinx,Monstrous Menagerie,11,Large,Monstrosity,N/A,0,1,0,0,20,142,22,14,18,18,22,20,4,18,1,0
Ancient River Dragon,Monstrous Menagerie,23,Gargantuan,Dragon,N/A,0,1,0,0,20,372,20,24,20,16,24,20,7,22,0,0
Loki,Mythological Figures & Maleficent Monsters ,13,Medium,Humanoid,N/A,0,0,1,1,20,143,9,16,12,16,14,20,5,16,0,0
Fenrir,Mythological Figures & Maleficent Monsters ,33,Gargantuan,Beast,N/A,0,1,1,1,20,499,35,20,27,15,20,18,10,30,0,0
Archpriest,Monstrous Menagerie,16,Medium,Humanoid,N/A,0,0,1,0,20,150,18,10,16,14,20,16,5,17,0,0
Jabberwock,Gate Pass Gazette #0,18,Huge,Dragon,N/A,0,1,0,0,20,270,24,18,24,14,20,22,6,21,1,0
Jabberwocky,Gate Pass Gazette #0,24,Huge,Dragon,N/A,0,1,0,1,20,405,24,18,24,14,20,22,7,22,0,Jabberwock
Brünnhilde,Mythological Figures & Maleficent Monsters ,11,Medium,Celestial,N/A,0,0,1,1,20,133,18,17,20,13,18,19,4,16,0,0
Lancelot du Lac,Mythological Figures & Maleficent Monsters ,11,Medium,Humanoid,N/A,0,0,1,1,20,127,16,11,17,13,9,14,4,15,0,0
Knight Captain,Monstrous Menagerie,14,Medium,Humanoid,N/A,0,0,1,0,20,171,20,12,20,12,12,16,5,18,1,0
Mountain Dwarf Lord,Monstrous Menagerie,14,Medium,Humanoid,N/A,0,0,1,0,20,171,20,12,20,12,12,16,5,18,0,Knight Captain
Ancient White Dragon,Monstrous Menagerie,22,Gargantuan,Dragon,N/A,0,1,0,0,20,370,26,12,26,10,16,16,7,23,1,0
Ascetic Grandmaster,Monstrous Menagerie,14,Medium,Humanoid,N/A,0,0,1,0,20,172,16,20,16,10,20,10,5,18,0,0
White Great Wyrm,Monstrous Menagerie,22,Gargantuan,Dragon,N/A,1,1,0,0,20,740,26,12,26,10,16,16,7,23,0,Ancient White Dragon
Mountain Dwarf Defender,Monstrous Menagerie,3,Medium,Humanoid,N/A,0,0,1,0,20,52,16,12,14,10,10,14,2,13,0,Knight
Terraforming Detritivore,Planestrider's Journal,23,Gargantuan,Aberration,N/A,0,0,0,0,20,363,26,24,23,8,13,19,7,23,0,0
Dread Borenbog,Adventures in Zeitgeist,15,Medium,Fey,N/A,0,0,0,1,20,264,20,8,24,6,9,5,5,18,0,0
Roper,Monstrous Menagerie,5,Large,Monstrosity,N/A,0,0,0,0,20,93,18,8,16,6,14,4,3,15,1,0
Tentacle Tree,Monstrous Menagerie,5,Large,Monstrosity,N/A,0,0,0,0,20,93,18,8,16,6,14,4,3,15,0,Roper
Cerberus Guardian,Dungeon Delver's Guide,23,Huge,Construct,N/A,0,1,0,0,20,310,26,12,28,6,18,14,7,23,0,0
Shadowlisk,Adventures in Zeitgeist,11,Large,Fey,N/A,0,0,0,0,20,92,21,20,22,6,12,7,4,17,0,0
Malice Spawn,Adventures in Zeitgeist,N/A,Medium,Aberration,N/A,0,0,0,0,20,10,21,20,22,4,12,7,4,17,0,0
Ten-Headed Lion,Adventures in Zeitgeist,14,Large,Fey,N/A,0,0,0,0,20,126,21,20,22,4,12,6,5,18,0,0
Iron Guardian,Monstrous Menagerie,14,Large,Construct,N/A,0,0,0,0,20,210,24,12,20,3,12,1,5,20,0,0
Crusher,Monstrous Menagerie,10,Large,Construct,N/A,0,0,0,0,20,115,20,8,20,1,6,1,4,17,0,0
Adult Sapphire Dragon,Monstrous Menagerie,19,Huge,Dragon,N/A,0,1,0,0,19,304,22,22,18,22,20,16,6,20,0,0
Fallen Planetar,Monstrous Menagerie,16,Large,Celestial,N/A,0,0,0,0,19,250,22,22,24,22,24,24,5,19,0,Planetar
Pit Fiend,Monstrous Menagerie,20,Large,Fiend,N/A,0,0,0,0,19,300,26,16,24,22,18,24,6,22,1,0
Pit Fiend General,Monstrous Menagerie,20,Huge,Fiend,N/A,1,0,0,0,19,600,26,16,24,22,18,24,6,22,0,Pit Fiend
Planetar,Monstrous Menagerie,16,Large,Celestial,N/A,0,0,0,0,19,250,22,22,24,22,24,24,5,19,1,0
Santa Claus,Mythological Figures & Maleficent Monsters ,21,Medium,Fey,N/A,0,1,1,1,19,210,21,20,22,21,26,23,7,20,0,0
Balor,Monstrous Menagerie,19,Huge,Fiend,N/A,0,0,0,0,19,299,26,18,20,20,20,22,6,22,1,0
Balor General,Monstrous Menagerie,24,Huge,Fiend,N/A,0,1,0,0,19,379,26,18,20,20,20,22,7,23,0,Balor
Hayreddin Barbarossa,Mythological Figures & Maleficent Monsters ,9,Medium,Humanoid,N/A,0,0,1,1,19,143,12,14,14,20,16,16,4,14,0,0
Saladin,Mythological Figures & Maleficent Monsters ,9,Medium,Humanoid,N/A,0,0,1,1,19,123,14,10,14,19,14,14,4,14,0,0
Cirothe,To Save A Kingdom,18,Huge,Dragon,N/A,0,1,0,1,19,270,23,10,24,17,15,21,6,20,0,0
Adult Blue Dragon,Monstrous Menagerie,19,Huge,Dragon,N/A,0,1,0,0,19,275,24,10,22,16,14,18,6,21,0,0
Adult Gold Dragon,Monstrous Menagerie,20,Huge,Dragon,N/A,0,1,0,0,19,324,26,14,24,16,14,24,6,22,0,0
Agonized Khyphon,To Save A Kingdom,14,Large,Celestial,N/A,0,0,0,0,19,195,19,14,17,16,14,17,5,17,0,0
Adult Red Dragon,Monstrous Menagerie,20,Huge,Dragon,N/A,0,1,0,0,19,310,26,10,24,16,14,20,6,22,0,0
Adult Silver Dragon,Monstrous Menagerie,19,Huge,Dragon,N/A,0,1,0,0,19,283,24,14,24,16,12,20,6,21,0,0
Bone Devil,Monstrous Menagerie,9,Large,Fiend,N/A,0,0,0,0,19,142,18,16,18,16,14,16,4,16,0,0
Tamar the Great,Mythological Figures & Maleficent Monsters ,6,Medium,Humanoid,N/A,0,0,1,1,19,104,11,12,14,16,16,16,3,12,0,0
Adult Black Dragon,Monstrous Menagerie,17,Huge,Dragon,N/A,0,1,0,0,19,253,22,14,20,14,12,16,6,20,1,0
Adult Black Dragon Lich,Monstrous Menagerie,17,Huge,Undead,Dragon,0,1,0,0,19,253,22,14,20,14,12,16,6,20,0,Adult Black Dragon
Adult Earth Dragon,Monstrous Menagerie,18,Huge,Dragon,N/A,0,1,0,0,19,287,22,14,22,14,20,12,6,20,0,0
Minotaur Conqueror,Gate Pass Gazette #12,16,Huge,Monstrosity,N/A,0,0,0,0,19,262,22,10,22,14,16,14,5,19,0,Minotaur Champion
Khutulun,Mythological Figures & Maleficent Monsters ,7,Medium,Humanoid,N/A,0,0,1,1,19,104,16,14,14,13,10,14,3,14,0,0
Arthur Pendragon,Mythological Figures & Maleficent Monsters ,14,Medium,Humanoid,N/A,0,0,1,1,19,143,16,14,14,12,12,18,5,16,0,0
Harald Hardrada,Mythological Figures & Maleficent Monsters ,10,Medium,Humanoid,N/A,0,0,1,1,19,136,18,14,14,12,12,14,4,16,0,0
Hippolyta,Mythological Figures & Maleficent Monsters ,11,Medium,Humanoid,N/A,0,0,1,1,19,165,16,18,12,12,13,14,4,16,0,0
Achilles,Mythological Figures & Maleficent Monsters ,11,Medium,Humanoid,N/A,0,0,1,1,19,136,17,17,15,11,9,13,4,15,0,0
Imp Flock,To Save A Kingdom,5,Large,Fiend,N/A,0,0,0,0,19,49,6,17,13,11,12,14,3,14,0,0
Saint George,Mythological Figures & Maleficent Monsters ,10,Medium,Humanoid,N/A,0,0,1,1,19,153,16,14,18,11,14,14,4,15,0,0
Angelic Spirit Soldier,To Save A Kingdom,7,Huge,Celestial,N/A,0,0,0,0,19,115,17,15,19,10,15,11,3,14,0,0
Flip the Herald,To Save A Kingdom,3,Small,Humanoid,N/A,0,0,1,1,19,52,16,13,15,10,10,15,2,13,0,0
Minotaur Champion,Monstrous Menagerie,16,Huge,Monstrosity,N/A,0,0,0,0,19,262,22,10,22,10,16,14,5,19,1,0
Penthesilea,Mythological Figures & Maleficent Monsters ,11,Medium,Humanoid,N/A,0,0,1,1,19,157,18,18,16,10,12,12,4,16,0,0
Sun Wukong,Mythological Figures & Maleficent Monsters ,12,Small,Beast,N/A,0,0,1,1,19,110,17,20,12,10,14,7,4,17,0,0
Xorn,Monstrous Menagerie,5,Medium,Elemental,N/A,0,0,0,0,19,73,18,10,22,10,10,10,3,15,0,0
Gorgon,Monstrous Menagerie,6,Large,Monstrosity,N/A,0,0,0,0,19,110,20,10,16,2,12,5,3,16,0,0
Adult Amethyst Dragon,Monstrous Menagerie,17,Huge,Dragon,N/A,0,1,0,0,18,220,18,20,18,22,14,20,6,19,0,0
Adult Emerald Dragon,Monstrous Menagerie,17,Huge,Dragon,N/A,0,1,0,0,18,241,22,22,18,22,12,18,6,20,0,0
Bookseer,Planestrider's Journal,9,Tiny,Construct,N/A,0,0,0,0,18,72,6,14,15,21,16,7,4,14,0,0
Aboleth Brute,Dungeon Delver's Guide,13,Large,Aberration,N/A,0,0,0,0,18,210,22,14,20,20,20,18,5,19,1,0
Aboleth Fallen Ascendant,Dungeon Delver's Guide,14,Large,Aberration,N/A,0,0,0,0,18,210,22,14,20,20,20,18,5,19,0,Aboleth Brute
Lich,Monstrous Menagerie,21,Medium,Undead,N/A,0,0,0,0,18,170,12,16,18,20,16,16,7,18,0,0
Marilith,Monstrous Menagerie,16,Large,Fiend,N/A,0,0,0,0,18,220,20,22,20,20,18,20,5,19,0,0
Merlin Ambrosius,Mythological Figures & Maleficent Monsters ,17,Medium,Humanoid,N/A,0,0,1,1,18,137,10,14,12,20,18,10,6,16,0,0
Nalfeshnee,Monstrous Menagerie,13,Large,Fiend,N/A,0,0,0,0,18,184,20,16,22,20,16,16,5,18,0,0
Sherlock Holmes,Mythological Figures & Maleficent Monsters ,10,Medium,Humanoid,N/A,0,0,1,1,18,117,10,16,14,20,12,10,4,15,0,0
Māui,Mythological Figures & Maleficent Monsters ,18,Medium,Humanoid,N/A,0,0,1,1,18,345,33,21,24,19,18,24,6,25,0,0
Noble of the Diamond,Planestrider's Journal,16,Medium,Aberration,N/A,0,1,0,0,18,246,15,20,19,19,14,16,5,18,0,0
Adult Brass Dragon,Monstrous Menagerie,16,Huge,Dragon,N/A,0,1,0,0,18,161,22,10,20,18,14,16,5,19,0,0
Adult Copper Dragon,Monstrous Menagerie,17,Huge,Dragon,N/A,0,1,0,0,18,253,22,12,20,18,14,16,6,20,0,0
Adult Green Dragon,Monstrous Menagerie,18,Huge,Dragon,N/A,0,1,0,0,18,287,22,12,20,18,14,16,6,20,0,0
Anzû,Mythological Figures & Maleficent Monsters ,14,Huge,Celestial,N/A,0,0,1,1,18,230,23,21,20,18,19,20,5,19,0,0
Ice Devil,Monstrous Menagerie,12,Large,Fiend,N/A,0,0,0,0,18,180,20,14,18,18,16,18,4,17,0,0
Young Sapphire Dragon,Monstrous Menagerie,10,Large,Dragon,N/A,0,0,0,0,18,161,18,18,16,18,16,14,4,16,0,0
Sapphire Dragon Wyrmling,Monstrous Menagerie,3,Medium,Dragon,N/A,0,0,0,0,18,161,18,18,16,18,16,14,2,14,0,0
Noble of the Club,Planestrider's Journal,15,Medium,Plant,N/A,0,1,0,0,18,240,18,16,17,17,18,19,5,17,0,0
Vampire Lord Nemirtvi,To Save A Kingdom,15,Medium,Undead,N/A,0,1,1,1,18,144,19,18,18,17,15,28,5,17,0,0
Accursed Guardian Naga,Monstrous Menagerie,12,Large,Monstrosity,N/A,0,0,0,0,18,130,16,18,16,16,18,18,4,16,0,Guardian Naga
Adult Bronze Dragon,Monstrous Menagerie,18,Huge,Dragon,N/A,0,1,0,0,18,287,24,10,22,16,14,18,6,21,0,0
Bonesmith,To Save A Kingdom,12,Medium,Fiend,N/A,0,0,0,0,18,157,17,14,17,16,15,16,4,15,0,0
Guardian Naga,Monstrous Menagerie,10,Large,Monstrosity,N/A,0,0,0,0,18,130,16,18,16,16,18,18,4,16,1,0
Hua Mulan,Mythological Figures & Maleficent Monsters ,9,Medium,Humanoid,N/A,0,0,1,1,18,143,14,14,12,16,10,14,4,14,0,0
Odysseus,Mythological Figures & Maleficent Monsters ,10,Medium,Humanoid,N/A,0,0,1,1,18,153,12,16,10,16,18,14,4,15,0,0
Vampire Warrior,Monstrous Menagerie,12,Medium,Undead,N/A,0,1,0,0,18,142,20,18,20,16,16,18,4,17,0,Vampire
Young Gold Dragon,Monstrous Menagerie,10,Large,Dragon,N/A,0,0,0,0,18,157,22,14,20,16,12,20,4,18,0,0
Alpha Xenid,Planestrider's Journal,8,Large,Monstrosity,N/A,0,0,0,0,18,127,21,18,17,15,16,7,3,16,0,0
Don Quixote,Mythological Figures & Maleficent Monsters ,3,Medium,Humanoid,N/A,0,0,1,1,18,33,11,14,13,15,9,16,2,12,0,0
Master Assassin,Monstrous Menagerie,17,Medium,Humanoid,N/A,0,0,1,0,18,143,20,2,14,15,12,12,6,19,1,0
Master Thief,Monstrous Menagerie,17,Medium,Humanoid,N/A,0,0,1,0,18,143,20,2,14,15,12,12,6,19,0,Master Assassin
Adult River Dragon,Monstrous Menagerie,17,Huge,Dragon,N/A,0,1,0,0,18,252,18,20,18,14,20,16,6,19,0,0
Adult Shadow Dragon,Monstrous Menagerie,19,Huge,Dragon,N/A,0,1,0,0,18,212,22,14,22,14,14,22,6,20,0,0
Chief Basyak,To Save A Kingdom,5,Medium,Humanoid,N/A,0,0,1,1,18,90,17,12,17,14,14,17,3,14,0,0
Dread Knight,Monstrous Menagerie,19,Medium,Undead,N/A,0,0,0,0,18,262,22,16,22,14,18,20,6,20,1,0
Dread Knight Champion,Monstrous Menagerie,23,Medium,Undead,N/A,0,0,0,0,18,346,22,16,22,14,18,20,7,21,0,Dread Knight
Erinyes,Monstrous Menagerie,12,Medium,Fiend,N/A,0,0,0,0,18,161,18,18,18,14,16,18,4,16,0,0
Young Blue Dragon,Monstrous Menagerie,10,Large,Dragon,N/A,0,0,0,0,18,152,20,10,18,14,12,16,4,17,0,0
Young Red Dragon,Monstrous Menagerie,11,Large,Dragon,N/A,0,0,0,0,18,178,22,10,20,14,12,18,4,18,0,0
Young Silver Dragon,Monstrous Menagerie,10,Large,Dragon,N/A,0,0,0,0,18,157,22,14,20,14,10,18,4,18,0,0
Imhotep,Mythological Figures & Maleficent Monsters ,7,Medium,Humanoid,N/A,0,0,1,1,18,44,10,14,12,14,18,14,3,13,0,0
Military Steamsuit Pilot,Adventures in Zeitgeist,5,Medium,Humanoid,N/A,0,0,0,0,18,90,23,16,14,14,11,8,3,17,0,0
Hobgoblin Captain,Monstrous Menagerie,3,Medium,Humanoid,N/A,0,0,0,0,18,52,16,14,14,14,12,14,2,13,1,0
Hobgoblin Warlord,Monstrous Menagerie,3,Medium,Humanoid,N/A,1,0,0,0,18,104,16,14,14,14,12,14,2,13,0,Hobgoblin Captain
Corrupted Jovan,To Save A Kingdom,6,Medium,Undead,N/A,0,0,1,1,18,85,16,15,18,13,15,14,3,14,0,0
Thor Odinson,Mythological Figures & Maleficent Monsters ,19,Medium,Humanoid,N/A,0,0,1,1,18,209,25,16,20,13,10,12,6,21,0,0
High Priest,Monstrous Menagerie,6,Medium,Humanoid,N/A,0,0,1,0,18,82,14,10,16,12,18,16,3,13,1,0
Shadow Elf High Priest,Monstrous Menagerie,6,Medium,Humanoid,N/A,0,0,1,0,18,82,14,10,16,12,18,16,3,13,0,High Priest
Blackguard,Monstrous Menagerie,5,Medium,Humanoid,N/A,0,0,1,0,18,82,16,12,16,12,14,14,3,14,0,0
Divi,Monstrous Menagerie,11,Large,Elemental,N/A,0,0,0,0,18,172,22,12,22,12,14,14,4,18,1,0
Divi Noble,Monstrous Menagerie,11,Large,Elemental,N/A,1,0,0,0,18,345,22,12,22,12,14,14,4,18,0,Divi
Draconic Horror,Dungeon Delver's Guide,19,Huge,Aberration,Dragon,0,1,0,0,18,287,22,14,20,12,16,22,6,20,0,0
Feywood Treeheard,Planestrider's Journal,18,Huge,Plant,N/A,1,0,0,0,18,207,23,8,21,12,20,13,6,20,0,0
Fiendbloom Treant,Monstrous Menagerie,9,Huge,Fiend,Plant,0,0,0,0,18,138,22,8,20,12,20,12,4,18,0,Treant
Holy Knight,Monstrous Menagerie,6,Medium,Humanoid,N/A,0,0,1,0,18,93,18,12,18,12,14,14,3,15,0,0
Horned Devil,Monstrous Menagerie,11,Large,Fiend,N/A,0,0,0,0,18,168,20,16,20,12,16,16,4,17,0,0
Treant,Monstrous Menagerie,9,Huge,Plant,N/A,0,0,0,0,18,138,22,8,20,12,20,12,4,18,1,0
Young Black Dragon,Monstrous Menagerie,9,Large,Dragon,N/A,0,0,0,0,18,144,18,14,16,12,12,14,4,16,0,0
Young Earth Dragon,Monstrous Menagerie,10,Large,Dragon,N/A,0,0,0,0,18,161,18,12,18,12,16,10,4,16,0,0
Belagon the Behemoth,Planestrider's Journal,12,Huge,Giant,Fiend,1,0,0,0,18,325,25,10,23,11,14,12,4,19,0,0
Beowulf,Mythological Figures & Maleficent Monsters ,17,Medium,Humanoid,N/A,0,0,1,1,18,252,24,14,22,11,12,10,6,21,0,0
Corrupted Modrick,To Save A Kingdom,5,Medium,Undead,N/A,0,0,1,1,18,55,16,9,12,11,15,12,3,14,0,0
Fafnir,Mythological Figures & Maleficent Monsters ,12,Huge,Dragon,N/A,0,1,1,1,18,740,21,20,19,11,12,14,4,17,0,0
Celestial Spirit Soldier,To Save A Kingdom,5,Large,Celestial,N/A,0,0,0,0,18,67,17,15,15,10,15,11,3,14,0,0
Fire Giant,Monstrous Menagerie,11,Huge,Giant,N/A,0,0,0,0,18,162,25,10,22,10,14,12,4,19,1,0
Dwarven Sunderknight,To Save A Kingdom,3,Medium,Humanoid,N/A,0,0,0,0,18,60,16,12,14,10,11,14,2,13,0,0
Fire Giant War Priest,Monstrous Menagerie,12,Huge,Giant,N/A,0,0,0,0,18,162,25,10,22,10,14,12,4,19,0,Fire Giant
Hercules,Mythological Figures & Maleficent Monsters ,19,Medium,Humanoid,N/A,0,0,1,1,18,187,29,16,18,10,9,10,6,23,0,0
Knight,Monstrous Menagerie,3,Medium,Humanoid,N/A,0,0,1,0,18,52,16,12,14,10,10,14,2,13,1,0
Titania,Mythological Figures & Maleficent Monsters ,11,Medium,Humanoid,N/A,0,0,1,1,18,130,10,20,14,10,8,20,4,17,0,0
Cave Troll,Monstrous Menagerie,6,Large,Giant,N/A,0,0,0,0,18,84,18,12,20,8,12,8,3,15,0,Troll
Enkidu,Mythological Figures & Maleficent Monsters ,11,Medium,Humanoid,N/A,0,0,1,1,18,180,16,16,20,8,12,10,4,15,0,0
Rock Troll,Gate Pass Gazette #3,6,Large,Giant,N/A,0,0,0,0,18,84,18,12,20,8,12,8,3,15,0,Troll
Adult White Dragon,Monstrous Menagerie,16,Huge,Dragon,N/A,0,1,0,0,18,250,22,12,22,8,14,14,5,19,0,0
Magma Elemental,Planestrider's Journal,16,Huge,Elemental,N/A,0,0,0,0,18,283,25,17,24,6,10,7,5,20,0,0
Wyvern,Monstrous Menagerie,6,Large,Dragon,N/A,0,0,0,0,18,110,18,10,16,5,12,6,3,15,0,0
BEAR,Adventures in Zeitgeist,10,Medium,Construct,N/A,0,0,0,0,18,123,21,20,20,4,12,6,4,17,0,0
Screaming Malice,Adventures in Zeitgeist,10,Huge,Aberration,N/A,0,1,0,0,18,125,21,20,22,4,12,7,4,17,0,0
Ice Worm,Monstrous Menagerie,15,Gargantuan,Monstrosity,N/A,0,0,0,0,18,247,28,8,22,2,10,4,5,22,0,Purple Worm
Purple Worm,Monstrous Menagerie,15,Gargantuan,Monstrosity,N/A,0,0,0,0,18,247,28,8,22,2,10,4,5,22,2,0
Sand Worm,Monstrous Menagerie,15,Gargantuan,Monstrosity,N/A,0,0,0,0,18,247,28,8,22,2,10,4,5,22,0,Purple Worm
Animated Armor,Monstrous Menagerie,1,Medium,Construct,N/A,0,0,0,0,18,31,14,10,10,1,10,1,2,12,0,0
Clockwork Sentinel,Monstrous Menagerie,4,Medium,Construct,N/A,0,0,0,0,18,60,16,12,16,1,6,1,2,13,0,0
Spell Automaton,Gate Pass Gazette #0,N/A,Medium,Construct,N/A,0,0,0,0,18,90,16,12,16,1,6,1,2,13,0,0
Aboleth,Monstrous Menagerie,11,Large,Aberration,N/A,0,1,0,0,17,171,20,12,18,20,20,18,4,17,1,0
Ancient Aboleth,Monstrous Menagerie,11,Huge,Aberration,N/A,1,1,0,0,17,342,20,12,18,20,20,18,4,17,0,Aboleth
Captain Nemo,Mythological Figures & Maleficent Monsters ,9,Medium,Humanoid,N/A,0,0,1,1,17,49,19,16,12,20,12,11,4,16,0,0
"Tolamir, Ancient Aboleth Necromancer",To Save A Kingdom,11,Huge,Aberration,N/A,1,1,0,1,17,342,20,12,18,20,20,18,4,17,0,0
Deva,Monstrous Menagerie,10,Medium,Celestial,N/A,0,0,0,0,17,153,18,18,18,18,20,20,4,16,1,0
Fallen Deva,Monstrous Menagerie,10,Medium,Celestial,N/A,0,0,0,0,17,153,18,18,18,18,20,20,4,16,0,Deva
Glabrezu,Monstrous Menagerie,10,Large,Fiend,N/A,0,0,0,0,17,157,20,16,20,18,18,18,4,17,0,0
